Dead Lift warm up,20,45,5
Dead Lifts,30,60,5
Bent Over Row,30,45,3
Pull Ups,30,45,3
neutral grip pull up,30,45,3
Wide Grip Pull Up,30,45,3
Curls,30,45,3
